Topo 02 - Polygon Calculation																																																						
HITUNGAN   POLIGON																																																						
																																																						
Proyek	:															Referensi	Titik	X	Y	Z			DX	0.000																														
Jalur	:															awal	K20	10000.000   	10000.000   	29.966			DY	0.000																														
Dihitung Oleh 	:															BS	K19	10050.000   	10050.000   	(Nilai Z Back Sight...)			DZ	-11.724																														
Tanggal	:																azimuth	" 45° 0' 0"""					Koreksi sudut  :	Y																														
																akhir	K30	9644.001   	9646.908   	(Nilai Z Berdiri Akhir...)			Koreksi jarak  :	Y																														
																	K55	9536.413   	9539.568   	21			Koreksi Elevasi	Y																														
																	azimuth	" 225° 3' 58"""																																				
																																																						
No	Tinggi alat	Tinggi target	Titik Poligon		Sudut Horisontal	Sudut Vertikal	Koreksi sudut	Azimuth		Jarak Miring	Jarak Datar	DX	Koreksi X	DY	Koreksi Y	DZ	Koreksi Z	Koordinat   (m)			Patok	Keterangan			Keterangan Tambahan																													
									+ koreksi									Absis  (X)	Ordinat  (Y)	Z		Poligon	WP	BM/CP			No	Point Name	Instrument Height (m)	Instrument Centering Error (m)	Instrument Height Error (m)	Reflector Height Error (m)	Reflector Centering Error (m)	#	Point From	Point To	Reflector Height (m)	Horizontal Circle	Slope Distance (m)	Zenith Angle	Code	Type												
		1.45		59	"145°10'31"""	"90°47'20"""	0''	" 190° 50' 53"""	" 190° 50' 53"""	124.877  	124.877  	-23.50  	0.00  	-122.65  	0.00  	-0.53  	0.00  	9976.498   	9877.355   	29.437   	59				C									114	1	59	1.45	"145°10'31"""	124.877	"90°47'20"""	C	SS												
		1.45		60	"147°26'13"""	"91°04'40"""	0''	" 192° 56' 55"""	" 192° 56' 55"""	121.512  	121.491  	-27.22  	0.00  	-118.40  	0.00  	-2.54  	0.00  	9972.777   	9881.598   	27.429   	60				C									116	1	60	1.45	"147°26'13"""	121.512	"91°04'40"""	C	SS												
		1.45		61	"149°27'01"""	"92°32'54"""	0''	" 194° 57' 53"""	" 194° 57' 53"""	118.917  	118.842  	-30.69  	0.00  	-114.81  	0.00  	-4.50  	0.00  	9969.312   	9885.188   	25.469   	61				T									118	1	61	1.45	"149°27'01"""	118.917	"92°32'54"""	T	SS												
		1.45		62	"149°35'23"""	"92°41'02"""	0''	" 194° 55' 55"""	" 194° 55' 55"""	118.833  	118.759  	-30.60  	0.00  	-114.75  	0.00  	-4.46  	0.00  	9969.399   	9885.251   	25.508   	62				D									120	1	62	1.45	"149°35'23"""	118.833	"92°41'02"""	D	SS												
		1.45		63	"149°40'39"""	"92°41'03"""	0''	" 194° 51' 1"""	" 194° 51' 1"""	118.734  	118.660  	-30.41  	0.00  	-114.70  	0.00  	-4.45  	0.00  	9969.588   	9885.303   	25.511   	63				D									122	1	63	1.45	"149°40'39"""	118.734	"92°41'03"""	D	SS												
		1.45		64	"149°42'31"""	"92°37'20"""	0''	" 194° 52' 53"""	" 194° 52' 53"""	118.674  	118.593  	-30.46  	0.00  	-114.62  	0.00  	-4.66  	0.00  	9969.543   	9885.385   	25.308   	64				T									124	1	64	1.45	"149°42'31"""	118.674	"92°37'20"""	T	SS												
		1.45		65	"149°45'04"""	"92°19'15"""	0''	" 194° 55' 56"""	" 194° 55' 56"""	118.625  	118.541  	-30.55  	0.00  	-114.54  	0.00  	-4.73  	0.00  	9969.455   	9885.462   	25.238   	65				T									126	1	65	1.45	"149°45'04"""	118.625	"92°19'15"""	T	SS												
		1.45		66	"149°49'41"""	"92°19'15"""	0''	" 194° 59' 53"""	" 194° 59' 53"""	118.516  	118.432  	-30.65  	0.00  	-114.40  	0.00  	-4.72  	0.00  	9969.351   	9885.602   	25.242   	66				T									128	1	66	1.45	"149°49'41"""	118.516	"92°19'15"""	T	SS												
		1.45		67	"149°51'46"""	"92°27'16"""	0''	" 194° 51' 58"""	" 194° 51' 58"""	118.466  	118.385  	-30.37  	0.00  	-114.42  	0.00  	-4.65  	0.00  	9969.627   	9885.578   	25.312   	67				Ji									130	1	67	1.45	"149°51'46"""	118.466	"92°27'16"""	Ji	SS												
		1.45		68	"151°38'42"""	"92°28'35"""	0''	" 196° 58' 54"""	" 196° 58' 54"""	116.477  	116.396  	-34.00  	0.00  	-111.32  	0.00  	-4.61  	0.00  	9966.005   	9888.679   	25.352   	68				Ji									132	1	68	1.45	"151°38'42"""	116.477	"92°28'35"""	Ji	SS												
